Category,ID,Number,Card,Meanings
Major Arcana,1,0,0 The Fool,"Beginnings, freedom, innocence, originality, adventure, idealism, spontaneity|Joyful, exuberant first steps|Small bag - cares nothing for possible dangers/obstacles|Close to the edge, but unaware/naive|Dog at heels barking in warning - if he does not become aware of his surroundings soon, he may never see all the adventures he dreams of encountering|0 - number of infinite potential|Blank slate, no clear personality|Anything can happen|Every day is a new adventure|Call to take a risk/leap of faith|Awe and curiosity"
Major Arcana,2,1,I The Magician,"Willpower, desire, creation, manifestation, resourcefulness, skill, ability, concentration|One hand to the sky, one to the ground - ""as above, so below""|Wields all four suits, connects all elements|Pure willpower|With power of elements he takes the potential of the fool and molds it into being|You are powerful, create your inner world and the outer world will follow|Need to tap into full potential|Don't hold back|Create your own world or someone else will do it for you"
Major Arcana,3,2,II The High Priestess,"Unconscious, intuition, mystery, spirituality, higher power, inner voice|Guardian of the unconscious and beckons the traveller to the world within|Complete grasp on emotions, ambitious|Inner knowledge, listen to your intuition rather than prioritising your intellect and conscious mind|Divine feminine - understands and holds answers to the deep unknowns; religion, self and nature.|Beginning to open her spirituality|Need for meditation, prayer and new spiritual work|Search for answers within yourself"
Major Arcana,4,3,III The Empress,"Motherhood, fertility, nature, divine feminine, sensuality, nurturing, creativity, beauty, abundance|Represents the Earth Mother|Complete love, harmony, fertility and luxury|Brings abundance and blessings|Shows deep connection to femininity (fertility, expression, creativity, nurturing)|Connect with beauty and bring happiness to your life|Be kind to yourself, take care of yourself|Birth of new idea, business or project|Good fortune|Bring forth your ideas and devote yourself to accomplishing them|Your ideas will be successful and well taken care of"
Major Arcana,5,4,IV The Emperor,"Stability, structure, protection, authority, control, practicality, focus, discipline, fatherliness|Stoic ruler figure|Rams heads - Aries|Sceptre - reign/right to rule, orb - symbol of kingdom he watches over|Long beard - vast experience|Strategic thinker|Paternal - gives structure, creates rules and systems, imparts knowledge|Honour and discipline|Acts rationally IAW greater good|Represents a chance to grow in terms of your goals|Successful future as long as you pursue your goals methodically and strategically|You may be put in charge of something important, called to act with wisdom, order and a clear decisive mind"
Major Arcana,6,5,V The Hierophant,"Tradition, social groups, conventionality, conformity, education, knowledge, beliefs|Religious figure in a formal environment|Right hand raised in blessing, triple cross - pope (the Father, the Son, the Holy Spirit)|Two acolytes - transfer of sacred knowledge|Masculine counterpart of the High Priestess - rather than following inner self, follow outer world (already established)|Embrace the conventional, follow well established processes, orthodox approach|Adapt to certain beliefs and systems, follow social structures"
Major Arcana,7,6,VI The Lovers,"Love, unions, partnerships, relationships, choices, romance, balance, unity|Harmony, attractiveness, perfection in a relationship|Trust and unity gives confidence and strength, empowering each party|Choose what is important in your life and what is not - follows on from Hierophant (develop your own beliefs/values)|Be true to yourself to be true and authentic to others"
Major Arcana,8,7,VII The Chariot,"Success, ambition, determination, willpower, control, self-discipline, focus|Black and white sphinxes - opposing forces that need to be controlled|Guide sphinxes to work together to reach a destination|Overcoming challenges, gaining victory through control of your surroundings|Maintain focus, confidence and determination|Pursue plans with a structured and ordered approach|Aggression may be used to help you take charge, but it may need to be reined in."
Major Arcana,9,8,VIII Strength,"Courage, bravery, confidence, compassion, self-confidence, inner power|Woman gracefully controlling lion, calm and collected|Maintain control and discipline in times of great adversity|Gentle control - love and compassion|Inner strength and fortitude during times of danger and distress|You are compassionate and always have time for others, even at your own expense|You are patient and likely to accomplish what you put your mind to|You are resilient and fearless|Your compassion will be rewarded with stability in your life"
Major Arcana,10,9,IX The Hermit,"Self-reflection, introspection, contemplation, withdrawal, solitude, search for self, search for truth|Six pointed star - wisdom, staff - authority and power|Seeker of knowledge that comes from within|Inner voice - to hear it one must disconnect from the crowds |Walks through dark night of unconscious, with destination being his home, his self|You are currently contemplating that you need to be alone|Take a chance to reflect, clear your mind|Take action that is authentic and aligned with your self|Appearance of someone who will be your mentor."
Major Arcana,11,10,X The Wheel of Fortune,"Change, cycles, fate, decisive moments, luck, fortune, unexpected events|The Wheel of Fortune turns evermore, to communicate that life is made of both good and bad, and we cannot control it|What goes up must come down, and bad things will eventually turn to good|Greater forces outside of human control are at work"
Major Arcana,12,11,XI Justice,"Justice, karma, consequence, accountability, law, truth, honesty, integrity, cause and effect|Judgement will be made fairly and accordingly|If you have been wronged, this card's appearance may bring you relief|If you have caused harm, this card serves as a warning|This is a chance to change your actions, it is time to account for your actions|Truth - learn the facts before passing judgement|Be fair in all your deeds|Attention is needed, it is time to get a solution once and for all"
Major Arcana,13,12,XII The Hanged Man,"Sacrifice, waiting, uncertainty, lack of direction, perspective, contemplation|Hanging man is positioned there by his own free will (serene expression)|His position is a sacrifice that needs to be made in order to progress forward, the time spent here will not be wasted|See the world differently|Suspend certain action, may be a period of indecision|Stall certain actions to ensure you have more time to reflect on making critical decisions|Wait for the right opportunity"
Major Arcana,14,13,XIII Death,"Transformation, endings, change, transition, letting go, release|A major phase in your life is ending, and a new one is going to start|Place the past behind you to focus your energy on what is ahead|The old version of you needs to 'die' to allow the new you to be created|Let go of any unhealthy attachments"
Major Arcana,15,14,XIV Temperance,"Balance, peace, patience, moderation, calm, tranquility, harmony, serenity|Two cups mixing - flow between super and subconscious minds, unity and infinity|Not letting things get to you|Moderation and balance, with patience|Extremity in any situation is to be avoided|Clear vision, knowing what you want to achieve - you have found peace|You are able to adapt and work in harmony with others|Evaluate your priorities|Balance outer and inner self"
Major Arcana,16,15,XV The Devil,"Oppression, addiction, obsession, dependency, excess, powerlessness, limitations|You have feelings of entrapment, emptiness and lack of fulfillment in your life|You are a slave to materialism and opulence, you want to indulge in luxurious living|You feel out of control of your urges"
Major Arcana,17,16,XVI The Tower,"Disaster, destruction, upheaval, trauma, sudden change, chaos|Radical and momentous change|Our old truths/beliefs are no longer useful|Replace old foundations of the past|Take damage control actions"
Major Arcana,18,17,XVII The Star,"Hope, inspiration, positivity, faith, renewal, healing, rejuvenation|Hope, renewed power, and strength to carry on with life|Shows abundant blessings from the universe|You have gone and passed through a terrible life challenge without losing hope (The Tower)|You are now aware of your own strength and resilience. It is only now that you can really appreciate all you have"
Major Arcana,19,18,XVIII The Moon,"Illusion, intuition, uncertainty, confusion, complexity, secrets, unconscious|Wolf and dog - wild, feral nature and civilised nature|Dual possibilities|Towers on opposing ends represent good forces and evil, similarities in appearance allude to the difficulties we face in distinguishing them|Your imagination is taking the best of you|The moon, your intuition, can bring you clarity and understanding in the darkness|Some hidden truth must be discovered, for what you are seeing now may be a trick of the light|Search for hidden forces that must be unraveled"
Major Arcana,20,19,XIX The Sun,"Happiness, success, optimism, vitality, joy, confidence, happiness, truth|Represents the dawn following the darkest nights|Represents life energy itself|Child - happiness that occurs when you are in alignment with your true self|Nakedness - nothing to hide|Innocence and absolute purity (white horse)|Success, abundance, radiance|Much joy and happiness coming to you|Because of your own personal fulfillment, you provide others with inspiration and joy|People are drawn to your warmth and energy|Radiate love and affection towards those you care most about.|Significant sense of deserved confidence|Nothing but good feelings and fulfillment"
Major Arcana,21,20,XX Judgement,"Self-evaluation, awakening, renewal, purpose, reflection, reckoning|Reflection and evaluation of ourselves and our actions|You are coming close to a significant point in your life where you must start to evaluate yourself|You are in a period of awakening, brought on by self-reflection|You have a clearer idea of what you need to change and how you need to be true to yourself and your needs|Reminds us that we all will be faced with choices that can have astounding effects on our lives|This is the time when the consequences of your actions will catch up to you|Let go of your past to move forward and have a new life"
Major Arcana,22,21,XXI The World,"Completion, achievement, fulfilment, sense of belonging, wholeness, harmony|Ever-changing, dynamic, and eternal fulfilment and unity|Encountering a great unity and wholeness|The inner and outer worlds become a single entity|All your efforts are starting to pay off|You have completed a major milestone and you have built the resilience to withstand challenges"
Wands,23,1,Ace,"Inspiration, creative spark, new initiative, new passion, enthusiasm, energy|Bravely finding your own voice, develop your own vision|Just go for it, take the chance|Follow your instincts|Act now|Breakthrough - you are motivated and inspired about a passion, project or idea|Excitement about new opportunities"
Wands,24,2,Two,"Planning, first steps, making decisions, leaving comfort zone, taking risks|You have turned an idea into a plan, now you have to progress|Yearning for something else|Courage to leave comfort zone and follow heart|Choice between feeling disappointed or feeling stuck"
Wands,25,3,Three,"Momentum, confidence, expansion, growth, foresight, looking ahead|The progression from 2W|The decision to head out on your own|Travel to search for what you are seeing - leaving home, voyage needed|You are in control and have a strong position"
Wands,26,4,Four,"Community, home, celebrations, reunions, parties, gatherings, stability, belonging|Evaluate your definition of home|A position of stability and grounding|Surround yourself with people who celebrate your offerings and vulnerabilities"
Wands,27,5,Five,"Conflict, competition, arguments, aggression, tension, rivals, clashes of ego|Some kind of disagreement, conflict or good-natured rivalry|Only want to be heard, not listen|Facing competition|Struggle between different aspects of ourselves"
Wands,28,6,Six,"Success, victory, triumph, rewards, recognition, praise, acclaim, pride|Evaluate how you define success|You have gotten through the confusion of 5W, but remember that your struggles are not over (7W)|Can bring self-importance and egotistical behaviour, arrogance"
Wands,29,7,Seven,"Protectiveness, standing up for yourself, defending yourself, protecting territory|Struggle to maintain position that you have already attained|Difficulties we face to continue to have success|Challenges from an outside source|Hold your ground, take a stand|Consider how you react when you feel threatened"
Wands,30,8,Eight,"Movement, speed, progress, quick decisions, sudden changes, excitement|Strong level of energy|Allow events to take their course|Balance willpower and allowing|What things are within your control, and what things are outside your control?"
Wands,31,9,Nine,"Last stand, persistence, grit, resilience, perseverance, close to success, fatigue|Won many battles (upright wands), but there are still more trials|Hope and encouragement that you should face your trials with courage to attain success|Evaluate your boundaries, are they really protecting you?"
Wands,32,10,Ten,"Burden, responsibility, duty, stress, obligation, burning out, struggles|Need to prioritise to ensure you remain in control|Understand you cannot solve everything, and share the burden|Are your needs and wants enmeshed with those of others?|Evaluate your personal limits"
Wands,33,11,Page,"Exploration, excitement, freedom|On the brink of a new creative project and vision|Spirit of discovery and childlike enthusiasm|In touch with true desires"
Wands,34,12,Knight,"Action, adventure, fearlessness|Manifestation of an idea and passionate pursuit of a vision|Action-oriented|Brash, impulsive, unrealistic, missing stable foundation (rearing horse)|Collecting resources and taking action|Upsetting the status quo"
Wands,35,13,Queen,"Confident, courageous, determined|Building and maintaining a steady burn|How do we nourish ourselves and others? How do we generate warmth and light?|Be in touch with your creative spirit"
Wands,36,14,King,"Big picture, leader, overcoming challenges|Remain civilised in times of anger, passion, despair, and conflict|Great vision and leadership|Leads and inspires others with his passion"
Cups,51,1,Ace,"Love, new feelings, emotional awakening, creativity, spirituality, intuition|Open yourself to possibilities that will make you emotionally fulfilled|Spiritual or emotional receptivity|Make space for emotions"
Cups,52,2,Two,"Unity, partnership, attraction, connection, close bonds, joining forces, mutual respect|Relinquish the projections and distortions about others |Partnership, balanced with a strong connection|Mutual respect, people appreciating you|Share the positive energy you are receiving from the universe"
Cups,53,3,Three,"Friendship, community, gatherings, celebrations, group events, social events|A period of happiness, forget your worries and spend quality time with family and friends|Contribute to and reinforce the well-being of others|How can you bring joy to those around you?"
Cups,54,4,Four,"Apathy, contemplation, feeling disconnected, melancholy, boredom, indifference, discontent|Failure to listen and be receptive|Tendency to take things for granted, making it hard to see what treasures the universe presents to us|Feeling discouraged and unmotivated|Listen to the cues from the world around you|"
Cups,55,5,Five,"Loss, grief, disappointment, sadness, mourning, discontent, feeling let down|Mourning over lost cups and doesn't notice ones still standing|So caught up in your past that you are incapable of moving on|High chance of missing out on new joys that the future can bring|Change your perspective"
Cups,56,6,Six,"Nostalgia, memories, familiarity, healing, comfort, sentimentality, pleasure|Generosity, naive happiness and childhood|You want to return to a happier time|Whilst we may look upon the past with a happy eye, we must avoid living in it|Returning to a familiar place|You have suffered a loss (5C) and are journeying home|Seek comfort and warmth of those who love you to gather strength for upcoming challenges"
Cups,57,7,Seven,"Choices, searching for purpose, illusion, fantasy, daydreaming, wishful thinking, indecision|Consider the many alternative endings, positive or negative|Be careful of wishful thinking and be alert of the choices you must make|The power of the imagination for good and bad"
Cups,58,8,Eight,"Abandonment, walking away, letting go, searching for truth, leaving behind|Time for change or transition by walking away from something|You have all the resources you need to embark on your journey; you don't need the 8 cups|You are dissatisfied with life and need to leave it behind and seek a higher purpose|True happiness cannot be found in what you have already created|You are tired of worldly things and about to embark on a much more spiritual journey"
Cups,59,9,Nine,"Wishes coming true, contentment, satisfaction, success, achievement, recognition, pleasure|Self-satisfaction after a long journey|Consider what you truly desire|The things you wish for are about to come true|Your desired state is soon to be reached"
Cups,60,10,Ten,"Happiness, homecomings, fulfillment, emotional stability, security, domestic harmony|Emotional fulfillment: being able to experience the full spectrum of emotions|Be thankful for your blessings|No change is needed, enjoy the fact that you are in the right spot"
Cups,61,11,Page,Explore your emotions with curiosity|Innoncence and sensitivity|Fish - unconscious trying to make contact
Cups,62,12,Knight,"Do not allow emotions to dominate behaviour|Relate feelings to sets of actions e.g. Love is a by-product of loving action, not a pre-requisite"
Cups,63,13,Queen,Separates her emotions from others'|Highly present|Sensitively attuned|Good boundaries|Genuine engagement with others
Cups,64,14,King,"Compassion, control, balance|Full of emotions but understands how and when to apply them|Able to resolve emotions|Doesn't avoid emotions, receives and resolves them|Understanding the transient nature of emotions"
Swords,37,1,Ace,"Clarity, breakthrough, new idea, concentration, vision, force, focus, truth|Moment in which one sees the world from a different point of view|Step back and take time to observe|Recognising that the sword isn't the right tool for every challenge, but it is for some"
Swords,38,2,Two,"Stalemate, difficult choices, stuck in the middle, denial, hidden information|Avoid indecision|Determine which thoughts you will give weight to|Confusion when we have to make difficult choices|Don't evade your problems - face them in order to solve them"
Swords,39,3,Three,"Heartbreak, separation, sadness, grief, sorrow, upset, loss, trauma, tears|You can minimise your pain by thinking logically|Choose the head over the heart|You need to allow yourself to experience sadness, anger, guilt/shame so you can heal"
Swords,40,4,Four,"Rest, relaxation, peace, sanctuary, recuperation, self-protection, rejuvenation|It is time to retreat and rest|Learn to sit with your emotions|Gain strength and clarity in a quiet environment|Re-evaluate, organise and understand your priorities|Gather new strength and prepare to face a new challenge"
Swords,41,5,Five,"Arguments, disputes, aggression, bullying, intimidation, conflict, hostility, stress|View experiences of revocation, dishonour, and loss as opportunities for growth|You believed it was more important to be right|Be considerate of those around you, let go of your ego"
Swords,42,6,Six,"Moving on, departure, leaving behind, distance, accepting lessons|Regretful, unhappy transition - most likely resulting from decision you made in the past|You must remember that moving on is the ideal option for your future|Sometimes the only solution is to leave the problem and start again|Plot a new course - think logically about your next moves"
Swords,43,7,Seven,"Lies, trickery, scheming, strategy, resourcefulness, sneakiness, cunning (the fox card)|Recognise your personal biases and don't allow them to distract you|You or someone in your life is having difficulty getting away with something|Instead of dealing with something you sneak away and try to go unnoticed, but things will come out"
Swords,44,8,Eight,"Trapped, restricted, victimised, paralysed, helpless, powerless, imprisonment|You feel powerless because, in your mind, you feel that you can't change your situation|Honestly appraise your psychological experiences and how they restrict you|We create these traps ourselves, so we can also find a way out of them|See beyond your limited perspective"
Swords,45,9,Nine,"Fear, anxiety, negativity, breaking point, despair, nightmares, isolation|Things that worry you and keep you up at night|We escalate into 9S when we are never released from the entrapment of 8S|9S associated with destructive side of the mind which turns on itself|Create space between you and your thoughts to gain clarity, perspective and freedom from their torment"
Swords,46,10,Ten,"Ruin, failure, bitterness, collapse, exhaustion, dead end, victimisation, betrayal|Do not allow your thoughts to pin you down|Take stock of all resentments, fears, grudges, and weapons formed against you to clear the backlog and release yourself"
Swords,47,11,Page,"Recklessness, curiosity, mental energy|Learning to observe the mind|Ready to attack mental activity, but must learn to develop a flexible relationship with it|Embarking on a new idea and mental adventure|Eager to share and discuss thoughts and plans"
Swords,48,12,Knight,"Drive, speed, ambition, focus|Commit, and accept what you need to stay on your path|Laser-like focus (e.g. mindfulness practice) |Power of an idea to overwhelm|Filled with vision|Unconscious of consequences and obstacles"
Swords,49,13,Queen,"Complexity, perceptive, clear mindedness, level-headed|Sharp of mind and wit|Knows how to use her sword for the highest good|Great powers of analysis"
Swords,50,14,King,"Intellectual, power, truth|Sharp intellect and clarity of mind|Develop concentration and ability to direct and fix attention at will|Truth and authority|Pillar of strength through presence of mind"
Pentacles,65,1,Ace,"New opportunities, resources, abundance, prosperity, security, stability, manifestation|Capacity to behave in a certain way|Understand our sphere of influence|Determine what is precious to you"
Pentacles,66,2,Two,"Balancing resources, adaptation, resourcefulness, flexibility, stretching resources|You are trying to keep aspects of your life in balance|You are able to adapt well to all the changes that you need to continually re-balance|The importance of play and unpredictability in our lives"
Pentacles,67,3,Three,"Teamwork, shared goals, collaboration, apprenticeship, effort, pooling energy|The coming together of different kinds of knowledge to build something common|Do not ignore the talents of those around you|Unite conflicting parts of self|Use your different talents and skills to build a solution"
Pentacles,68,4,Four,"Possessiveness, insecurity, hoarding, stinginess, stability, security, savings, materialism, wealth, frugality, boundaries, guardedness|Can't move while guarding the coins - restrained from action because you are holding onto your possessions too tightly|Money does not always bring freedom|You may start valuing things only for their material worth|You may become overly possessive or greedy|You are currently in a position where you have solid investments and are financially stable, so you are being conservative|There is no reward without risk, don't spend all your time saving"
Pentacles,69,5,Five,"Hardship, loss, isolation, feeling abandoned, adversity, struggle, unemployment, alienation, disgrace|Suggests a time of hardship and insecurity|Being present is a prerequisite to feeling fulfilled|Look to the thing you need the most"
Pentacles,70,6,Six,"Generosity, charity, community, material help, support, sharing, giving and receiving, gratitude|You have a good relationship with your income - balance between income and expenses|You can share your wealth with others, but don't give more than you have|Be aware of your power to give and share|You may be receiving wealth (you are one of the beggars) - do not become desperate or submissive, but focus on self-sufficiency as you get back on your feet"
Pentacles,71,7,Seven,"Harvest, rewards, results, growth, progress, perseverance, patience, planning|Investment and effort|Evaluate what you are willing and able to invest in|Your efforts are paying off and will pay off in the future as well|You are not confined to seeing short-term results only|Remain patient and hard-working - you may not see results now but they are on their way"
Pentacles,72,8,Eight,"Skill, talent, craftsmanship, quality, high standards, expertise, mastery, commitment, dedication, accomplishment|Town in background - you have isolated yourself from distractions to fully concentrate on the task at hand|You need to work hard and focus hard on your tasks, but maintain a balance"
Pentacles,73,9,Nine,"Rewarded efforts, success, achievement, independence, leisure, material security, self-sufficiency|You are confident, independent and self-sufficient|Through hard work you are now ready to enjoy money, leisure and material comfort|You can now celebrate the difficulties, struggles and hard work of earlier|Your previous challenges gave you the wider perspective you need to understand the value of your success and enjoy each day that is given to you|This is a period of restraint and grace"
Pentacles,74,10,Ten,"Legacy, roots, family, ancestry, inheritance, windfall, foundations, privilege, affluence, stability, tradition|Diversity, plurality, connection|Understand how your behaviour affects others as we are all interconnected|Your happiness is interwoven with the happiness shared with others|The decisions you make will produce positive results that last well into the future - your legacy"
Pentacles,75,11,Page,"Learning new behaviours, habits, patterns"
Pentacles,76,12,Knight,"Efficiency, hard work, routine|Actively using new behaviours to form habits|Developing behavioural sovereignty|Hold fast through unhealthy urges"
Pentacles,77,13,Queen,Practising what you preach|Have a solid sense of why you're doing what you're doing|Marry vision with physical action|Envision what the world is to you and choose how you'll manifest it
Pentacles,78,14,King,Understand your strengths and use them to your advantage|Exert your influence over domains you have access to|Minding your own business|Understand what you need to do to take care of yourself and do it
